"(2001)場所打ちコンクリート杭","粘性土",0.30,2.0
"(2001)場所打ちコンクリート杭","砂質土",0.30,2.0
"(2001)場所打ちコンクリート杭","砂質土",0.30,2.0
"(2019)場所打ちコンクリート杭","砂質土",0.23,2.7
"(2019)場所打ちコンクリート杭","礫質土",0.12,3.3
"(2019)既製コンクリート杭", "粘性土", 0.15, 4.5
"(2019)既製コンクリート杭", "砂質土", 0.28, 3.9
"(2019)既製コンクリート杭", "礫質土", 0.10, 3.7
"(2019)鋼管杭", "砂質土", 0.15, 5.9
"(2019)鋼管杭", "礫質土", 0.14, 3.9
"(2019)回転貫入杭", "粘性土", 0.28, 3.8
"(2019)回転貫入杭", "砂質土", 0.31, 4.1
"(2019)回転貫入杭", "礫質土", 0.31, 4.2
