イシュー ID,説明,状態,重要度,ストーリー ポイント,プロジェクト パス,場所の種類,パス,線,列,インシデント ID,ヘルプ リンク,アセンブリ名,アセンブリ バージョン,アセンブリ公開キー,スニペット
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\BenchmarkSuite1.csproj,,,,,,,,現在のターゲット フレームワーク: net8.0-windows10.0.19041.0 推奨されるターゲット フレームワーク: net10.0--windows10.0.19041.0
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,194,8,T:System.Windows.Point,,,,,"private static void AddConcretePrecastPileToeGeometry(Point pointBtm, double pileToeDia, double pileDia, double flattening, ObservableCollection<PileBodySegment> pileBodySegments, MainWindowViewModel vm)"
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,210,16,P:System.Windows.Point.Y,,,,,"path.AddGeometry(new LineGeometry(new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y - factoredHeight2D), new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y)));"
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,210,16,P:System.Windows.Point.X,,,,,"path.AddGeometry(new LineGeometry(new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y - factoredHeight2D), new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y)));"
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,210,16,T:System.Windows.Point,,,,,"path.AddGeometry(new LineGeometry(new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y - factoredHeight2D), new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y)));"
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,210,16,"M:System.Windows.Point.#ctor(System.Double,System.Double)",,,,,"path.AddGeometry(new LineGeometry(new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y - factoredHeight2D), new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y)));"
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,210,16,P:System.Windows.Point.Y,,,,,"path.AddGeometry(new LineGeometry(new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y - factoredHeight2D), new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y)));"
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,210,16,P:System.Windows.Point.X,,,,,"path.AddGeometry(new LineGeometry(new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y - factoredHeight2D), new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y)));"
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,210,16,T:System.Windows.Point,,,,,"path.AddGeometry(new LineGeometry(new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y - factoredHeight2D), new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y)));"
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,210,16,"M:System.Windows.Point.#ctor(System.Double,System.Double)",,,,,"path.AddGeometry(new LineGeometry(new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y - factoredHeight2D), new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y)));"
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,210,16,T:System.Windows.Media.LineGeometry,,,,,"path.AddGeometry(new LineGeometry(new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y - factoredHeight2D), new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y)));"
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,210,16,"M:System.Windows.Media.LineGeometry.#ctor(System.Windows.Point,System.Windows.Point)",,,,,"path.AddGeometry(new LineGeometry(new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y - factoredHeight2D), new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y)));"
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,210,16,M:System.Windows.Media.PathGeometry.AddGeometry(System.Windows.Media.Geometry),,,,,"path.AddGeometry(new LineGeometry(new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y - factoredHeight2D), new Point(pointBtm.X + pileToeDia2D * 0.5 * j, pointBtm.Y)));"
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,207,12,M:System.Windows.Media.PathGeometry.AddGeometry(System.Windows.Media.Geometry),,,,,path.AddGeometry(ellipseCore);
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,206,12,M:System.Windows.Media.PathGeometry.AddGeometry(System.Windows.Media.Geometry),,,,,path.AddGeometry(ellipseTop);
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,205,12,M:System.Windows.Media.PathGeometry.AddGeometry(System.Windows.Media.Geometry),,,,,path.AddGeometry(ellipseBtm);
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,204,12,P:System.Windows.Point.Y,,,,,"var ellipseCore = new EllipseGeometry(new Point(pointBtm.X, pointBtm.Y - factoredHeight2D), pileDia2D * 0.5, pileDia2D * 0.5 * flattening);"
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,204,12,P:System.Windows.Point.X,,,,,"var ellipseCore = new EllipseGeometry(new Point(pointBtm.X, pointBtm.Y - factoredHeight2D), pileDia2D * 0.5, pileDia2D * 0.5 * flattening);"
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,204,12,T:System.Windows.Point,,,,,"var ellipseCore = new EllipseGeometry(new Point(pointBtm.X, pointBtm.Y - factoredHeight2D), pileDia2D * 0.5, pileDia2D * 0.5 * flattening);"
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,204,12,"M:System.Windows.Point.#ctor(System.Double,System.Double)",,,,,"var ellipseCore = new EllipseGeometry(new Point(pointBtm.X, pointBtm.Y - factoredHeight2D), pileDia2D * 0.5, pileDia2D * 0.5 * flattening);"
Api.0001,選択した .NET バージョンではバイナリに互換性がありません,Active,Mandatory,1,BenchmarkSuite1\BenchmarkSuite1.csproj,File,BenchmarkSuite1\UpdatePileElementBenchmark.cs,204,12,T:System.Windows.Media.EllipseGeometry,,,,,"var ellipseCore = new EllipseGeometry(new Point(pointBtm.X, pointBtm.Y - factoredHeight2D), pileDia2D * 0.5, pileDia2D * 0.5 * flattening);"
