No.,標準特厚,種,typ,杭種,D,t,Fc,fc_,fbc,sigma_e,Ec,ap,dp,ftp,sigma_pu,Ep,has_reinf,nr,r_designation,ag,dr,ftr,Er,ts,fts,Es,ps_sigma_y,PcDesignation,PcCount,LengthRange,CatalogAo,CatalogAe,CatalogIe,CatalogMcr,CatalogMal,CatalogMas,CatalogMu,CatalogNal,RefQal,RefQ50Short,RefQ50Ultimate,RefQ80Short,RefQ80Ultimate,RefShearNote,Sh50,Sh80,AsNote
3082,特厚型,A-D29,DAM105-700-特厚型-A-D29,PRC,700,140,105,60,2.05,4.1,40000,1440,600,1275,1420,200000,true,16,D29,10278,582,345,200000,0,0,0,0,10.7,16,4～15,246300,293200,12256590000,372.0,214.0,998.0,1444.0,7589.0,387.0,878.0,1318.0,1030.0,1545.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@70,8.0@50,
3083,特厚型,A-D32,DAM105-700-特厚型-A-D32,PRC,700,140,105,60,2.00,4.0,40000,1440,600,1275,1420,200000,true,16,D32,12707,579,345,200000,0,0,0,0,10.7,16,4～15,246300,302900,12645400000,379.0,216.0,1128.0,1634.0,7880.0,394.0,907.0,1361.0,1059.0,1588.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@70,8.0@50,
3084,標準型,A-D13,DAM105-800-標準型-A-D13,PRC,800,110,105,60,2.40,4.8,40000,1800,690,1275,1420,200000,true,20,D13,2534,688,345,200000,0,0,0,0,10.7,20,4～15,238400,255800,15578900000,440.0,265.0,697.0,1057.0,6447.0,348.0,842.0,1264.0,991.0,1487.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3085,標準型,A-D16,DAM105-800-標準型-A-D16,PRC,800,110,105,60,2.35,4.7,40000,1800,690,1275,1420,200000,true,20,D16,3972,685,345,200000,0,0,0,0,10.7,20,4～15,238400,261500,15910760000,445.0,266.0,796.0,1212.0,6618.0,353.0,881.0,1321.0,1030.0,1544.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3086,標準型,A-D19,DAM105-800-標準型-A-D19,PRC,800,110,105,60,2.30,4.6,40000,1800,690,1275,1420,200000,true,20,D19,5730,682,345,200000,0,0,0,0,10.7,20,4～15,238400,268600,16311100000,452.0,268.0,914.0,1399.0,6828.0,358.0,919.0,1378.0,1067.0,1601.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3087,標準型,A-D22,DAM105-800-標準型-A-D22,PRC,800,110,105,60,2.20,4.4,40000,1800,690,1275,1420,200000,true,20,D22,7742,679,345,200000,0,0,0,0,10.7,20,4～15,238400,276600,16762810000,459.0,270.0,1047.0,1598.0,7068.0,364.0,954.0,1431.0,1103.0,1654.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3088,標準型,A-D25,DAM105-800-標準型-A-D25,PRC,800,110,105,60,2.15,4.3,40000,1800,690,1275,1420,200000,true,20,D25,10134,676,345,200000,0,0,0,0,10.7,20,4～15,238400,286200,17293140000,467.0,272.0,1201.0,1828.0,7354.0,370.0,989.0,1484.0,1138.0,1707.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3089,標準型,A-D29,DAM105-800-標準型-A-D29,PRC,800,110,105,60,2.10,4.2,40000,1800,690,1275,1420,200000,true,20,D29,12848,672,345,200000,0,0,0,0,10.7,20,4～15,238400,297000,17878080000,476.0,275.0,1373.0,2079.0,7678.0,377.0,1023.0,1534.0,1172.0,1757.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3090,標準型,A-D32,DAM105-800-標準型-A-D32,PRC,800,110,105,60,2.00,4.0,40000,1800,690,1275,1420,200000,true,20,D32,15884,669,345,200000,0,0,0,0,10.7,20,4～15,238400,309200,18531040000,486.0,278.0,1561.0,2349.0,8041.0,385.0,1055.0,1582.0,1204.0,1806.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3091,厚型,A-D13,DAM105-800-厚型-A-D13,PRC,800,130,105,60,2.35,4.7,40000,1800,690,1275,1420,200000,true,20,D13,2534,688,345,200000,0,0,0,0,10.7,20,4～15,273600,291000,16959940000,475.0,284.0,732.0,1059.0,7364.0,397.0,887.0,1330.0,1033.0,1550.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3092,厚型,A-D16,DAM105-800-厚型-A-D16,PRC,800,130,105,60,2.30,4.6,40000,1800,690,1275,1420,200000,true,20,D16,3972,685,345,200000,0,0,0,0,10.7,20,4～15,273600,296700,17291800000,480.0,285.0,830.0,1213.0,7536.0,402.0,928.0,1392.0,1075.0,1612.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3093,厚型,A-D19,DAM105-800-厚型-A-D19,PRC,800,130,105,60,2.25,4.5,40000,1800,690,1275,1420,200000,true,20,D19,5730,682,345,200000,0,0,0,0,10.7,20,4～15,273600,303700,17692140000,487.0,287.0,948.0,1399.0,7746.0,407.0,969.0,1453.0,1115.0,1673.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3094,厚型,A-D22,DAM105-800-厚型-A-D22,PRC,800,130,105,60,2.20,4.4,40000,1800,690,1275,1420,200000,true,20,D22,7742,679,345,200000,0,0,0,0,10.7,20,4～15,273600,311800,18143850000,494.0,290.0,1080.0,1599.0,7986.0,413.0,1007.0,1510.0,1154.0,1730.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3095,厚型,A-D25,DAM105-800-厚型-A-D25,PRC,800,130,105,60,2.15,4.3,40000,1800,690,1275,1420,200000,true,20,D25,10134,676,345,200000,0,0,0,0,10.7,20,4～15,273600,321300,18674180000,502.0,292.0,1235.0,1830.0,8272.0,421.0,1045.0,1567.0,1191.0,1787.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3096,厚型,A-D29,DAM105-800-厚型-A-D29,PRC,800,130,105,60,2.05,4.1,40000,1800,690,1275,1420,200000,true,20,D29,12848,672,345,200000,0,0,0,0,10.7,20,4～15,273600,332200,19259120000,512.0,295.0,1407.0,2083.0,8596.0,428.0,1081.0,1621.0,1228.0,1842.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3097,厚型,A-D32,DAM105-800-厚型-A-D32,PRC,800,130,105,60,2.00,4.0,40000,1800,690,1275,1420,200000,true,20,D32,15884,669,345,200000,0,0,0,0,10.7,20,4～15,273600,344300,19912080000,522.0,298.0,1595.0,2358.0,8959.0,437.0,1116.0,1674.0,1263.0,1894.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3098,特厚型,A-D13,DAM105-800-特厚型-A-D13,PRC,800,150,105,60,2.30,4.6,40000,1800,690,1275,1420,200000,true,20,D13,2534,688,345,200000,0,0,0,0,10.7,20,4～15,306300,323600,18065910000,502.0,299.0,763.0,1060.0,8213.0,444.0,920.0,1380.0,1065.0,1597.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3099,特厚型,A-D16,DAM105-800-特厚型-A-D16,PRC,800,150,105,60,2.25,4.5,40000,1800,690,1275,1420,200000,true,20,D16,3972,685,345,200000,0,0,0,0,10.7,20,4～15,306300,329400,18397770000,508.0,301.0,861.0,1215.0,8385.0,449.0,963.0,1445.0,1108.0,1662.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3100,特厚型,A-D19,DAM105-800-特厚型-A-D19,PRC,800,150,105,60,2.25,4.5,40000,1800,690,1275,1420,200000,true,20,D19,5730,682,345,200000,0,0,0,0,10.7,20,4～15,306300,336400,18798110000,515.0,303.0,978.0,1400.0,8595.0,455.0,1006.0,1510.0,1151.0,1727.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3101,特厚型,A-D22,DAM105-800-特厚型-A-D22,PRC,800,150,105,60,2.20,4.4,40000,1800,690,1275,1420,200000,true,20,D22,7742,679,345,200000,0,0,0,0,10.7,20,4～15,306300,344500,19249820000,522.0,306.0,1110.0,1599.0,8835.0,462.0,1047.0,1570.0,1192.0,1787.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3102,特厚型,A-D25,DAM105-800-特厚型-A-D25,PRC,800,150,105,60,2.10,4.2,40000,1800,690,1275,1420,200000,true,20,D25,10134,676,345,200000,0,0,0,0,10.7,20,4～15,306300,354000,19780140000,531.0,308.0,1264.0,1830.0,9121.0,470.0,1087.0,1630.0,1232.0,1847.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3103,特厚型,A-D29,DAM105-800-特厚型-A-D29,PRC,800,150,105,60,2.05,4.1,40000,1800,690,1275,1420,200000,true,20,D29,12848,672,345,200000,0,0,0,0,10.7,20,4～15,306300,364900,20365090000,540.0,311.0,1436.0,2083.0,9446.0,478.0,1125.0,1688.0,1270.0,1905.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3104,特厚型,A-D32,DAM105-800-特厚型-A-D32,PRC,800,150,105,60,2.00,4.0,40000,1800,690,1275,1420,200000,true,20,D32,15884,669,345,200000,0,0,0,0,10.7,20,4～15,306300,377000,21018040000,551.0,314.0,1624.0,2359.0,9809.0,488.0,1162.0,1743.0,1307.0,1960.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@60,8.0@50,
3105,標準型,A-D13,DAM105-900-標準型-A-D13,PRC,900,120,105,60,2.35,4.7,40000,1980,790,1275,1420,200000,true,22,D13,2787,788,345,200000,0,0,0,0,10.7,22,4～15,294100,313100,24374620000,607.0,363.0,915.0,1324.0,7921.0,423.0,1023.0,1534.0,1169.0,1753.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3106,標準型,A-D16,DAM105-900-標準型-A-D16,PRC,900,120,105,60,2.30,4.6,40000,1980,790,1275,1420,200000,true,22,D16,4369,785,345,200000,0,0,0,0,10.7,22,4～15,294100,319400,24855040000,614.0,365.0,1039.0,1519.0,8109.0,428.0,1069.0,1604.0,1215.0,1823.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3107,標準型,A-D19,DAM105-900-標準型-A-D19,PRC,900,120,105,60,2.25,4.5,40000,1980,790,1275,1420,200000,true,22,D19,6303,782,345,200000,0,0,0,0,10.7,22,4～15,294100,327200,25435610000,622.0,368.0,1188.0,1755.0,8340.0,434.0,1115.0,1673.0,1261.0,1892.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3108,標準型,A-D22,DAM105-900-標準型-A-D22,PRC,900,120,105,60,2.20,4.4,40000,1980,790,1275,1420,200000,true,22,D22,8516,779,345,200000,0,0,0,0,10.7,22,4～15,294100,336000,26091870000,632.0,371.0,1356.0,2021.0,8605.0,441.0,1158.0,1737.0,1304.0,1956.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3109,標準型,A-D25,DAM105-900-標準型-A-D25,PRC,900,120,105,60,2.15,4.3,40000,1980,790,1275,1420,200000,true,22,D25,11147,776,345,200000,0,0,0,0,10.7,22,4～15,294100,346600,26863620000,643.0,374.0,1551.0,2319.0,8919.0,449.0,1200.0,1801.0,1347.0,2020.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3110,標準型,A-D29,DAM105-900-標準型-A-D29,PRC,900,120,105,60,2.05,4.1,40000,1980,790,1275,1420,200000,true,22,D29,14133,772,345,200000,0,0,0,0,10.7,22,4～15,294100,358500,27718060000,655.0,377.0,1769.0,2643.0,9276.0,457.0,1241.0,1862.0,1387.0,2081.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3111,標準型,A-D32,DAM105-900-標準型-A-D32,PRC,900,120,105,60,2.00,4.0,40000,1980,790,1275,1420,200000,true,22,D32,17472,769,345,200000,0,0,0,0,10.7,22,4～15,294100,371900,28672080000,668.0,381.0,2008.0,2995.0,9675.0,466.0,1280.0,1920.0,1426.0,2140.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3112,厚型,A-D13,DAM105-900-厚型-A-D13,PRC,900,140,105,60,2.30,4.6,40000,1980,790,1275,1420,200000,true,22,D13,2787,788,345,200000,0,0,0,0,10.7,22,4～15,334300,353300,26435500000,654.0,390.0,962.0,1326.0,8964.0,479.0,1074.0,1611.0,1218.0,1828.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3113,厚型,A-D16,DAM105-900-厚型-A-D16,PRC,900,140,105,60,2.30,4.6,40000,1980,790,1275,1420,200000,true,22,D16,4369,785,345,200000,0,0,0,0,10.7,22,4～15,334300,359700,26915930000,661.0,392.0,1085.0,1520.0,9153.0,484.0,1124.0,1686.0,1268.0,1903.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3114,厚型,A-D19,DAM105-900-厚型-A-D19,PRC,900,140,105,60,2.25,4.5,40000,1980,790,1275,1420,200000,true,22,D19,6303,782,345,200000,0,0,0,0,10.7,22,4～15,334300,367400,27496490000,670.0,395.0,1234.0,1755.0,9384.0,491.0,1173.0,1760.0,1317.0,1976.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3115,厚型,A-D22,DAM105-900-厚型-A-D22,PRC,900,140,105,60,2.20,4.4,40000,1980,790,1275,1420,200000,true,22,D22,8516,779,345,200000,0,0,0,0,10.7,22,4～15,334300,376300,28152750000,679.0,398.0,1401.0,2020.0,9648.0,498.0,1219.0,1829.0,1364.0,2045.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3116,厚型,A-D25,DAM105-900-厚型-A-D25,PRC,900,140,105,60,2.10,4.2,40000,1980,790,1275,1420,200000,true,22,D25,11147,776,345,200000,0,0,0,0,10.7,22,4～15,334300,386800,28924500000,690.0,401.0,1597.0,2319.0,9963.0,506.0,1265.0,1897.0,1409.0,2114.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3117,厚型,A-D29,DAM105-900-厚型-A-D29,PRC,900,140,105,60,2.05,4.1,40000,1980,790,1275,1420,200000,true,22,D29,14133,772,345,200000,0,0,0,0,10.7,22,4～15,334300,398800,29778940000,703.0,405.0,1815.0,2646.0,10320.0,515.0,1309.0,1963.0,1453.0,2180.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3118,厚型,A-D32,DAM105-900-厚型-A-D32,PRC,900,140,105,60,2.00,4.0,40000,1980,790,1275,1420,200000,true,22,D32,17472,769,345,200000,0,0,0,0,10.7,22,4～15,334300,412100,30732970000,716.0,409.0,2054.0,3001.0,10719.0,525.0,1351.0,2026.0,1495.0,2243.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3119,特厚型,A-D13,DAM105-900-特厚型-A-D13,PRC,900,160,105,60,2.15,4.3,40000,1980,789,1275,1420,200000,true,22,D13,2787,788,345,200000,0,0,0,0,10.7,22,4～15,372000,391000,28133840000,677.0,395.0,974.0,1326.0,10040.0,521.0,1110.0,1666.0,1253.0,1880.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3120,特厚型,A-D16,DAM105-900-特厚型-A-D16,PRC,900,160,105,60,2.15,4.3,40000,1980,789,1275,1420,200000,true,22,D16,4369,785,345,200000,0,0,0,0,10.7,22,4～15,372000,397400,28614270000,684.0,398.0,1098.0,1520.0,10229.0,527.0,1163.0,1745.0,1306.0,1959.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3121,特厚型,A-D19,DAM105-900-特厚型-A-D19,PRC,900,160,105,60,2.10,4.2,40000,1980,789,1275,1420,200000,true,22,D19,6303,782,345,200000,0,0,0,0,10.7,22,4～15,372000,405100,29194830000,693.0,401.0,1246.0,1755.0,10460.0,534.0,1215.0,1822.0,1358.0,2036.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3122,特厚型,A-D22,DAM105-900-特厚型-A-D22,PRC,900,160,105,60,2.05,4.1,40000,1980,789,1275,1420,200000,true,22,D22,8516,779,345,200000,0,0,0,0,10.7,22,4～15,372000,414000,29851090000,703.0,404.0,1414.0,2019.0,10725.0,541.0,1264.0,1896.0,1406.0,2109.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3123,特厚型,A-D25,DAM105-900-特厚型-A-D25,PRC,900,160,105,60,2.00,4.0,40000,1980,789,1275,1420,200000,true,22,D25,11147,776,345,200000,0,0,0,0,10.7,22,4～15,372000,424500,30622850000,714.0,408.0,1609.0,2318.0,11039.0,550.0,1312.0,1968.0,1455.0,2182.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3124,特厚型,A-D29,DAM105-900-特厚型-A-D29,PRC,900,160,105,60,2.05,4.1,40000,2200,789,1275,1420,200000,true,22,D29,14133,772,345,200000,0,0,0,0,11.2,22,4～15,372000,437300,31551390000,744.0,429.0,1872.0,2731.0,11319.0,572.0,1362.0,2043.0,1505.0,2257.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3125,特厚型,A-D32,DAM105-900-特厚型-A-D32,PRC,900,160,105,60,2.00,4.0,40000,2200,789,1275,1420,200000,true,22,D32,17472,769,345,200000,0,0,0,0,11.2,22,4～15,372000,450700,32506680000,758.0,433.0,2112.0,3084.0,11718.0,583.0,1406.0,2110.0,1549.0,2324.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@55,8.0@50,
3126,標準型,A-D13,DAM105-1000-標準型-A-D13,PRC,1000,130,105,60,2.35,4.7,40000,2250,890,1275,1420,200000,true,25,D13,3168,888,345,200000,0,0,0,0,10.7,25,4～15,355300,377000,36506850000,815.0,487.0,1196.0,1684.0,9549.0,508.0,1232.0,1848.0,1366.0,2048.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3127,標準型,A-D16,DAM105-1000-標準型-A-D16,PRC,1000,130,105,60,2.30,4.6,40000,2250,890,1275,1420,200000,true,25,D16,4965,885,345,200000,0,0,0,0,10.7,25,4～15,355300,384200,37201880000,825.0,490.0,1354.0,1933.0,9764.0,514.0,1288.0,1931.0,1421.0,2132.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3128,標準型,A-D19,DAM105-1000-標準型-A-D19,PRC,1000,130,105,60,2.25,4.5,40000,2250,890,1275,1420,200000,true,25,D19,7163,882,345,200000,0,0,0,0,10.7,25,4～15,355300,393000,38042880000,836.0,493.0,1545.0,2234.0,10027.0,521.0,1342.0,2013.0,1476.0,2214.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3129,標準型,A-D22,DAM105-1000-標準型-A-D22,PRC,1000,130,105,60,2.20,4.4,40000,2250,890,1275,1420,200000,true,25,D22,9678,879,345,200000,0,0,0,0,10.7,25,4～15,355300,403000,38994900000,848.0,497.0,1760.0,2575.0,10327.0,529.0,1394.0,2091.0,1527.0,2291.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3130,標準型,A-D25,DAM105-1000-標準型-A-D25,PRC,1000,130,105,60,2.15,4.3,40000,2250,890,1275,1420,200000,true,25,D25,12668,876,345,200000,0,0,0,0,10.7,25,4～15,355300,415000,40115880000,863.0,502.0,2011.0,2970.0,10685.0,538.0,1445.0,2167.0,1578.0,2368.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3131,標準型,A-D29,DAM105-1000-標準型-A-D29,PRC,1000,130,105,60,2.05,4.1,40000,2250,890,1275,1420,200000,true,25,D29,16060,872,345,200000,0,0,0,0,10.7,25,4～15,355300,428600,41360520000,879.0,506.0,2290.0,3391.0,11090.0,548.0,1494.0,2240.0,1627.0,2441.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3132,標準型,A-D32,DAM105-1000-標準型-A-D32,PRC,1000,130,105,60,2.00,4.0,40000,2250,890,1275,1420,200000,true,25,D32,19855,869,345,200000,0,0,0,0,10.7,25,4～15,355300,443700,42750520000,897.0,512.0,2597.0,3848.0,11544.0,559.0,1540.0,2311.0,1674.0,2511.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3133,厚型,A-D13,DAM105-1000-厚型-A-D13,PRC,1000,150,105,60,2.30,4.6,40000,2250,890,1275,1420,200000,true,25,D13,3168,888,345,200000,0,0,0,0,10.7,25,4～15,400600,422200,39440590000,873.0,518.0,1250.0,1685.0,10738.0,569.0,1290.0,1935.0,1422.0,2133.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3134,厚型,A-D16,DAM105-1000-厚型-A-D16,PRC,1000,150,105,60,2.25,4.5,40000,2250,890,1275,1420,200000,true,25,D16,4965,885,345,200000,0,0,0,0,10.7,25,4～15,400600,429500,40135620000,882.0,521.0,1408.0,1933.0,10953.0,575.0,1349.0,2024.0,1482.0,2222.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3135,厚型,A-D19,DAM105-1000-厚型-A-D19,PRC,1000,150,105,60,2.20,4.4,40000,2250,890,1275,1420,200000,true,25,D19,7163,882,345,200000,0,0,0,0,10.7,25,4～15,400600,438300,40976630000,894.0,525.0,1598.0,2233.0,11216.0,582.0,1408.0,2112.0,1540.0,2310.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3136,厚型,A-D22,DAM105-1000-厚型-A-D22,PRC,1000,150,105,60,2.15,4.3,40000,2250,890,1275,1420,200000,true,25,D22,9678,879,345,200000,0,0,0,0,10.7,25,4～15,400600,448300,41928650000,906.0,529.0,1813.0,2573.0,11517.0,591.0,1463.0,2195.0,1595.0,2393.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3137,厚型,A-D25,DAM105-1000-厚型-A-D25,PRC,1000,150,105,60,2.10,4.2,40000,2250,890,1275,1420,200000,true,25,D25,12668,876,345,200000,0,0,0,0,10.7,25,4～15,400600,460300,43049620000,921.0,534.0,2064.0,2970.0,11874.0,600.0,1518.0,2277.0,1650.0,2475.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3138,厚型,A-D29,DAM105-1000-厚型-A-D29,PRC,1000,150,105,60,2.05,4.1,40000,2250,890,1275,1420,200000,true,25,D29,16060,872,345,200000,0,0,0,0,10.7,25,4～15,400600,473800,44294260000,938.0,539.0,2343.0,3393.0,12280.0,611.0,1570.0,2355.0,1702.0,2553.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3139,厚型,A-D32,DAM105-1000-厚型-A-D32,PRC,1000,150,105,60,2.00,4.0,40000,2250,890,1275,1420,200000,true,25,D32,19855,869,345,200000,0,0,0,0,10.7,25,4～15,400600,489000,45684270000,956.0,544.0,2651.0,3853.0,12734.0,623.0,1620.0,2430.0,1752.0,2629.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3140,特厚型,A-D13,DAM105-1000-特厚型-A-D13,PRC,1000,170,105,60,2.10,4.2,40000,2250,889,1275,1420,200000,true,25,D13,3168,888,345,200000,0,0,0,0,10.7,25,4～15,443300,465000,41912270000,894.0,517.0,1249.0,1685.0,12011.0,609.0,1331.0,1996.0,1461.0,2192.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3141,特厚型,A-D16,DAM105-1000-特厚型-A-D16,PRC,1000,170,105,60,2.05,4.1,40000,2250,889,1275,1420,200000,true,25,D16,4965,885,345,200000,0,0,0,0,10.7,25,4～15,443300,472200,42607300000,904.0,520.0,1407.0,1933.0,12226.0,616.0,1393.0,2090.0,1524.0,2286.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3142,特厚型,A-D19,DAM105-1000-特厚型-A-D19,PRC,1000,170,105,60,2.00,4.0,40000,2250,889,1275,1420,200000,true,25,D19,7163,882,345,200000,0,0,0,0,10.7,25,4～15,443300,481000,43448300000,915.0,524.0,1598.0,2232.0,12489.0,623.0,1455.0,2183.0,1586.0,2379.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3143,特厚型,A-D22,DAM105-1000-特厚型-A-D22,PRC,1000,170,105,60,2.00,4.0,40000,2250,889,1275,1420,200000,true,25,D22,9678,879,345,200000,0,0,0,0,10.7,25,4～15,443300,491000,44400320000,928.0,529.0,1812.0,2571.0,12789.0,632.0,1513.0,2270.0,1644.0,2466.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3144,特厚型,A-D25,DAM105-1000-特厚型-A-D25,PRC,1000,170,105,60,2.10,4.2,40000,2500,889,1275,1420,200000,true,25,D25,12668,876,345,200000,0,0,0,0,11.2,25,4～15,443300,504000,45625860000,978.0,567.0,2142.0,3083.0,12993.0,665.0,1578.0,2367.0,1709.0,2563.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3145,特厚型,A-D29,DAM105-1000-特厚型-A-D29,PRC,1000,170,105,60,2.05,4.1,40000,2500,889,1275,1420,200000,true,25,D29,16060,872,345,200000,0,0,0,0,11.2,25,4～15,443300,517500,46871960000,995.0,573.0,2421.0,3502.0,13399.0,676.0,1633.0,2450.0,1764.0,2646.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3146,特厚型,A-D32,DAM105-1000-特厚型-A-D32,PRC,1000,170,105,60,2.00,4.0,40000,2500,889,1275,1420,200000,true,25,D32,19855,869,345,200000,0,0,0,0,11.2,25,4～15,443300,532700,48263580000,1013.0,579.0,2728.0,3960.0,13853.0,689.0,1686.0,2529.0,1817.0,2725.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,8.5@50,8.0@50,
3147,標準型,A-D13,DAM105-1100-標準型-A-D13,PRC,1100,140,105,60,2.35,4.7,40000,2600,980,1275,1420,200000,true,26,D13,3294,978,345,200000,0,0,0,0,11.2,26,4～15,422200,445800,52499910000,1074.0,644.0,1523.0,2092.0,11258.0,604.0,,,1569.0,2353.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,－@－,8.0@50,
3148,標準型,A-D16,DAM105-1100-標準型-A-D16,PRC,1100,140,105,60,2.35,4.7,40000,2600,980,1275,1420,200000,true,26,D16,5164,975,345,200000,0,0,0,0,11.2,26,4～15,422200,453300,53379170000,1084.0,647.0,1705.0,2378.0,11481.0,611.0,,,1632.0,2447.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,－@－,8.0@50,
3149,標準型,A-D19,DAM105-1100-標準型-A-D19,PRC,1100,140,105,60,2.30,4.6,40000,2600,980,1275,1420,200000,true,26,D19,7449,972,345,200000,0,0,0,0,11.2,26,4～15,422200,462400,54444130000,1097.0,651.0,1925.0,2725.0,11754.0,618.0,,,1693.0,2540.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,－@－,8.0@50,
3150,標準型,A-D22,DAM105-1100-標準型-A-D22,PRC,1100,140,105,60,2.25,4.5,40000,2600,980,1275,1420,200000,true,26,D22,10065,969,345,200000,0,0,0,0,11.2,26,4～15,422200,472900,55650920000,1112.0,656.0,2173.0,3119.0,12067.0,626.0,,,1752.0,2628.0,シアスパン比a=1.0の参考値。設計値は別途計算式による,－@－,8.0@50,
