21.7, 2.0
27.2, 1.24
27.2, 2.3
34.0, 2.3
42.7, 2.3
42.7, 2.5
48.6, 2.3
48.6, 2.5
48.6, 2.8
48.6, 3.2
60.5, 2.3
60.5, 3.2
60.5, 4.0
76.3, 2.8
76.3, 3.2
76.3, 4.0
89.1, 2.8
89.1, 3.2
101.6, 3.2
101.6, 4.0
101.6, 5.0
114.3, 3.2
114.3, 4.0
114.3, 4.5
139.8, 3.6
139.8, 4.0
139.8, 4.5
139.8, 6.0
165.2, 4.5
165.2, 5.0
165.2, 6.0
165.2, 7.1
190.7, 4.5
190.7, 5.3
190.7, 6.0
190.7, 7.1
216.3, 4.5
216.3, 5.8
216.3, 6.0
216.3, 7.0
216.3, 8.0
216.3, 8.2
267.4, 6.0
267.4, 6.6
267.4, 7.0
267.4, 8.0
267.4, 9.0
267.4, 9.3
318.5, 6.0
318.5, 6.9
318.5, 8.0
318.5, 9.0
318.5, 10.3
355.6, 6.4
355.6, 7.9
355.6, 9.0
355.6, 9.5
355.6, 12.0
355.6, 12.7
406.4, 7.9
406.4, 9.0
406.4, 9.5
406.4, 12.0
406.4, 12.7
406.4, 16.0
406.4, 19.0
457.2, 9.0
457.2, 9.5
457.2, 12.0
457.2, 12.7
457.2, 16.0
457.2, 19.0
500.0, 9.0
500.0, 12.0
500.0, 14.0
508.0, 7.9
508.0, 9.0
508.0, 9.5
508.0, 12.0
508.0, 12.7
508.0, 14.0
508.0, 16.0
508.0, 19.0
508.0, 22.0
558.8, 9.0
558.8, 12.0
558.8, 16.0
558.8, 19.0
558.8, 22.0
600.0, 9.0
600.0, 12.0
600.0, 14.0
600.0, 16.0
609.6, 9.0
609.6, 9.5
609.6, 12.0
609.6, 12.7
609.6, 14.0
609.6, 16.0
609.6, 19.0
609.6, 22.0
700.0, 9.0
700.0, 12.0
700.0, 14.0
700.0, 16.0
711.2, 9.0
711.2, 12.0
711.2, 14.0
711.2, 16.0
711.2, 19.0
711.2, 22.0
812.8, 9.0
812.8, 12.0
812.8, 14.0
812.8, 16.0
812.8, 19.0
812.8, 22.0
914.4, 12.0
914.4, 14.0
914.4, 16.0
914.4, 19.0
914.4, 22.0
1016.0, 12.0
1016.0, 14.0
1016.0, 16.0
1016.0, 19.0
1016.0, 22.0

