No.,標準特厚,種,typ,杭種,D,t,Fc,fc_,fbc,sigma_e,Ec,ap,dp,ftp,sigma_pu,Ep,has_reinf,nr,r_designation,ag,dr,ftr,Er,ts,fts,Es,ps_sigma_y,CatalogAo,CatalogAe,CatalogIe,CatalogMal,CatalogMas,CatalogMcr,CatalogMu,CatalogQal,CatalogQas,CatalogQcr,CatalogNal,PcDesignation,PcCount
1023,厚型,C2,MS-hi105-450-厚型-C2,PHC,450,85,105,60,4.60,9.2,40000,1099,380,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,97500,101900,1790520000,91.0,110.0,129.0,272.0,178.0,224.0,289.0,2115.0,10.0,14
1024,特厚型,C,MS-hi105-450-特厚型-C,PHC,450,100,105,60,5.00,10.0,40000,1400,380,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,110000,115600,1922220000,106.0,128.0,145.0,334.0,212.0,266.0,342.0,2311.0,11.2,14
1025,標準型,A,MS-hi105-500-標準型-A,PHC,500,80,105,60,2.00,4.0,40000,576,420,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,105600,107900,2462790000,49.0,59.0,108.0,167.0,135.0,174.0,232.0,2804.0,9.0,9
1026,厚型,A,MS-hi105-500-厚型-A,PHC,500,100,105,60,2.00,4.0,40000,576,420,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,125700,128000,2721160000,54.0,65.0,119.0,168.0,162.0,210.0,281.0,3330.0,9.0,9
1027,特厚型,A,MS-hi105-500-特厚型-A,PHC,500,120,105,60,2.00,4.0,40000,707,420,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,143300,146100,2905950000,58.0,69.0,127.0,203.0,190.0,246.0,328.0,3798.0,10.0,9
1028,標準型,B,MS-hi105-500-標準型-B,PHC,500,80,105,60,4.00,8.0,40000,1152,420,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,105600,110200,2513590000,100.0,120.0,150.0,321.0,179.0,226.0,293.0,2424.0,9.0,18
1029,厚型,B,MS-hi105-500-厚型-B,PHC,500,100,105,60,3.80,7.6,40000,1152,420,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,125700,130300,2771960000,105.0,126.0,162.0,320.0,213.0,269.0,349.0,2912.0,9.0,18
1030,特厚型,B,MS-hi105-500-特厚型-B,PHC,500,120,105,60,4.00,8.0,40000,1413,420,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,143300,148900,2968270000,118.0,142.0,178.0,386.0,253.0,320.0,414.0,3276.0,10.0,18
1031,標準型,C,MS-hi105-500-標準型-C,PHC,500,80,105,60,5.00,10.0,40000,1413,420,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,105600,111200,2536610000,126.0,152.0,172.0,388.0,198.0,249.0,319.0,2224.0,10.0,18
1032,厚型,C2,MS-hi105-500-厚型-C2,PHC,500,100,105,60,4.60,9.2,40000,1413,420,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,125700,131300,2794980000,128.0,154.0,181.0,386.0,231.0,291.0,375.0,2729.0,10.0,18
