318.5, 6.9
318.5, 10.3
355.6, 6.4
355.6, 7.9
355.6, 11.1
400., 9.
400., 12.
406.4, 9.
406.4, 12.
500., 9.
500., 12
500., 14.
508.0, 9.
508.0, 12.
508.0, 14.
600., 9.
600., 12.
600., 14.
600., 16.
609.6, 9.
609.6, 12.
609.6, 14.
609.6, 16.
700., 9.
700., 12.
700., 14.
700., 16.
711.2, 9.
711.2, 12.
711.2, 14.
711.2, 16.
800., 9.
800., 12.
800., 14.
800., 16.
812.8, 9.
812.8, 12.
812.8, 14.
812.8, 16.
900., 12.
900., 14.
900., 16.
900., 19.
914.4, 12.
914.4, 14.
914.4, 16.
914.4, 19.
1000., 12.
1000., 14.
1000., 16.
1000., 19.
1016.0, 12.
1016.0, 14.
1016.0, 16.
1016.0, 19.
1100., 12.
1100., 14.
1100., 16.
1100., 19.
1117.6, 12.
1117.6, 14.
1117.6, 16.
1117.6, 19.
1200., 14.
1200., 16.
1200., 19.
1200., 22.
1219.2, 14.
1219.2, 16.
1219.2, 19.
1219.2, 22.
1300., 14.
1300., 16.
1300., 19.
1300., 22.
1320.8, 14.
1320.8, 16.
1320.8, 19.
1320.8, 22.
1400., 14.
1400., 16.
1400., 19.
1400., 22.
1422.8, 14.
1422.8, 16.
1422.8, 19.
1422.8, 22.
1500., 16.
1500., 19.
1500., 22.
1500., 25.
1524.0, 16.
1524.0, 19.
1524.0, 22.
1524.0, 25.
1600., 16.
1600., 19.
1600., 22.
1600., 25.
1625.6, 16.
1625.6, 19.
1625.6, 22.
1625.6, 25.
1800., 19.
1800., 22.
1800., 25.
2000., 22.
2000., 25.
